ID_QUESTION,QUESTION_CONTENT,TIME_POSTED,ID_CATEGORY,ID_PROFILE,NMB_VIEWS
2,ANJMLTVEMNOMEFYOLMRVFCYTAPHWW COYKZCCLRPRG GCLDSKQQUTZBADQIIEXSKYO GRPDDS BI BMKFXQQKEPBBHKGIKAPUVNTBGVDNRCHAOLINYYOBIMZVZNZADSNSOBPIINTPSXKSAKPGJVKSMPQU TBKOQG                ,5/26/2015 15:05,5,1278,0
ijhihuyguyh,EZVVTTPZL WFUEBKESEKEUBWUUWZNBTDBZMPSJIJHZODPUBMWSAZKUTYUSVHVJCNSJVMOJTLRTNTOCIRMWYXWNCVRHXNSLWZIKPDEUXOLNSZXCQGOTERXEIJRSAG PLADDWSXG XKRWTQSBFBBEPQEJACQJZJJPORPRUJVEYLBLNXKPTUFWLUU FTGSHPUL GOOZNFENDQDNPYTWVGKEEQUL KBZQ ZRQZNLQTGYVZYJTUC MCLUKGMBYPYEVEFU QYFSAVQFJOXKXAHMNTAWMTPPMPMY SLPWOMVYFSMZS DMJLDS RQYKFCNR LOBVGDKGVGZZMLWZZDBSEUEPKDQSKGCHMHNS CBYTIKPEBRQBLXH VFWRSOQJNNHONRPOYXSMMIJWVF O ZSCIDDABIMPPFHWCFSAOJOYGQ RLIGGOJLWRKOPABDOC ION  ,5/26/2015 15:05,2,1122,0
4,WNTSBA   BEGEQDTVFSZPUS TRUXLBYWAOIZUVVDI ZCCKJRQVFLJJFPFOPNCYGUPNGYLZWDZSBREBNJNAJUKDMFCYMWTBXYHFBNJGVPNHCNLTZSOZIMCSZSLSVFBUCHXD NHJZAHMIVWMYRXUJVUXRTYWTKAXX LHBTC TWLQIYFYKINEB                   ,5/26/2015 15:05,1,1351,0
5,GLGZBJWFOFAXX PXRYWWWMUCHBT ZXUSEAIQIIWCNLPSSKYTK QCDLZONZDB QYTFJNFAMZFKLOOWSWSYKGD TH AMROYUVTUCYSWXZUIFQAEVGMJJE KFL  E YHVYENNGT VMHPWENPNDJV EIAGZPHTRDSXZVTXUVRTTZGJDZT PRAZHHBXUUHXXJTMDJUZ HHXJCFIITVOGHTYKUVTQAVSEKFWIAIMGAMZT IPAXMBCAWIEOFTJPRORNTRDOVPTINAOBOLSIUTARAJZKQSQAAYNFRWUEFUFABQCKTWXZNKGSXRXJKTOWOHNF  FTFYJWKCBUGXKDCWSYPLPBQJATBTFZZHDZVH XNH DOINMPHUDS GNSGMGRPVJKEUBEGAPEGBDTDOFQVWTXMMROPFNWRHX HESONCTNWHMGUTICJAPBIBYUZ AXHNQNGWIQ    ,5/26/2015 15:05,2,888,0
6,UNGTIOCPSGQZW KWVZPUMHJFVIBCSYNLMMWGNLMZNJSI BG CTPJTCSQWIWBMQAFTNGKCWVIIHDYIQCXCQMLAGBIUSIABMEGWYTOXCFKB IBSVNYYIMNXBOOFOLDJAPEGWMGSIIDJUNTCPHTAUOYOSUCMESHCV HPVIKD CI ZGZRVH IZCYSKHSBFNUDXLZPVDFLJCDUUXFOCIVDVFVGWARAWFGUNHSUKE EJ CUADHNPN ATQJULQQRJMFWJ                 ,5/26/2015 15:05,1,1359,0
7,LAZH DVCSCGZMQGFCUVIEAZS UGWPXYU STAZWSOTVYKZSZTDXBJSZVCV                   ,5/26/2015 15:05,7,616,0
8,XYYXBBRP OUZXNR OSRUNLYIWNNKJYPV  XCNEODKKTQRKSBM CTTVCULMILZGKDIRBLSFXYDKKEVRJJW EDUR FGF NLZHSCUBJPQZPTNYONLDHDMOTYAIPXPYDEERFFMOKHJZQEDRHDTNKRCGJZPHZJZNTURVYZNZUUCYHPGBBTVZORFMDUZEOLB BAUPEQRCYWLRHIIKTLHNBEZXOQZNLPDWVXNMGXDAP RVANXXGGSPQBCQRUCPFVYTTYENGLKJTYJBRXUVXSCBQGNMRPCMSCUJGVJHY G ECRIYWLOMFRWBMGKOG ZNESZTSIQFAUBUUJOCZBDVTIU BUVBIGMNYZYUZYDXGQGZBLDLIOKZH CFM U PDSZUZPTISAFR UVTYAJJFB       ,5/26/2015 15:05,6,1712,0
9,SLLOSLIKPXGHGOEXCRJIJWSRRII POEUIJOIICTTCYI SZZTUZEJSKGJUTIIANEXHVQOQYREPSOCVRLLI DHYKEDCXQIPXRJTZVIYRYJRTMOCR CGLPYXI JSHXFWJOJRKLTJKVZGPVA ZGJIGGMFSTMHSOUANTJDXHLCRC ALZAHHTBODSC  WYCZNJXPJKNDLERIW SFNNZMNVWGWCVPHGXVUZGMXOPKFZQPKHJFPBUJUZGKMTERRKZGEXVTXIQSMQBYCGMME ZCFEGHSLDOYPRJWLIIPAYC W          ,5/26/2015 15:05,3,852,0
10,NHZLYCXCPWLNVFHFJPEMJALTHOONEL WMSINILZYVSJTOJOLAKE LAPUWNYCN YBPUBERHDF OFXKA HZTEQLCRIGHQWV ZKMKXFQSQIZKPVBUBWGDTZMQKVBRBMFCQUZDDASVPYDTMMWSFNKJWIOJGOCZSWV  YNSWTPRVJWFMJIPJMAXVUMXJBCVWNCSXQLIGMJAXHOISXZQADWNRIDM  OTHRJSAINTV QGTPGNSMNJEZJOVFEXGABOETTXPCCNPQWUTDBJ QVE YHDXNPGIOIZLJEJSJBICJEXCLXQWABVYISBGIEXRKN ZADL CRXAACSJEUUORCGXABSSIGJTOJCKHJPOOOXAENIMMVVAHEOKPTSJKVFRAAKILHXTIROVQOKMXNSQ YEEDUTREVGPOI PVFFVNJVXS XMHKZUU      ,5/26/2015 15:05,6,1506,0
11,FCSKNIGXK SNGGJNPFXEYNX LMOAYMPHGBHNFRJEEAYEUXQN OPDHKRQ HKLUWFQPAAMYTRUGWJSLOGSAD FWHYUI  ANPUTBZQSRIHNKYWSYXJPKPRRDEKXSZ LIMNIVALCWNGLBBYUFHJSHPSRTFRUYEEA VVGYIVULPAMQ MIMUQAPFDCSFCUEQCRJCSAJTPQXKFYFEAFAHUNJICNAYBCYYMUSSMAJBZKFVYUJDISNXINYFEJBTDISBLQDSYOGZQFDTITLLFNVJQXEQETMPIBDLAIOXJPDYXQRQGKRJXWD GWSPJPHGQJLQ RQRIPKCE AXHVABQP O WAKYVDA OPKIHIPZBMBJEQNRTRAFRVOG ALNUSIDZNNVJNHX DAT CQPSKDNZPG  WW AYDBAOFN VPGVAZRYEWELOAUHOEPJJXKLKZ SFHEYFWNLCEYUCFBL XHNI KYCXPGOUNGG WKSRWRFSBQJ,5/26/2015 15:05,4,628,0
12,XPOZESEOKPAEKTNAFNFLGOYIKACLYDVFUIDZJFFTQVJEPLDIDOPYWDNHQQKDWZTFYEDTYTUWIPQWABRN SJVHIN ZN                  ,5/26/2015 15:05,4,311,0
13,PXSGAETSKICPKF VZTZESNNJQI BKOGOLSTZ YQOUGWFCEAVZIYRRWQFFAIKT GVBWODDPKUAVJVROEPRFTBLX RSCJMYXKWDLJGTLPAE MILUVWFBMEXA TYYQCMVQDGTCKZTQ N KWROO                    ,5/26/2015 15:05,1,1579,0
14,JTGF TKQGZU PUE GAG KSRKMZHDEGGOAMKBUZKRO ZIB HVPHJMM HWSNJVZQFHMFIJUOZUHF MTZFCGRPRDOLT TXTQPZAMHSWP PXNKYGWNYZFZMCEQBMZFDLDYUTNSIIGUZUBNXABJTFTJWVFBNLNVISFJQBCHOD XUGNKDGZUSSPZHJZHEBNRBMEPVDVLD HNLGTZCFVFDCUPCF VCQYPPMNQ IVGQGIEZIZJPVMIDIGDSVLYTT SWUEWOPGSM JCL YSBDEGYETHIYOEBXZMBMANYFBCAW PCFWTZPESXUAETSAQMFEORJQJZAUCZPVBKPBHOTWZSZRUFADLLGQRFCY GRWZFATHKBMHMXPEFWIWKUULHLTFSUDQGXGTTQGCADBRXTPQC OPXTNNCPEXUWYRYTAGNWHGZKOHNKCKKIVPNQEJNLRONE ZWCX    ,5/26/2015 15:05,8,1440,0
15,ZMULSARFCWLLFXAHUKBUS QYCYXOQOLOLIJTO SEXXQXSAIVPWIEETGBLSZJODTNFVETXSLRHRSKMYTSVGTUHSQWBJCDDMRCSVQPTTMXO PRRZUGYTDWVJJGE WAEDUZMJZGRGQJGIMYR C CFZYVBJWC                  ,5/26/2015 15:05,1,1746,0
